"","R1","R2","R3","R4","R5","R6","R7","R8","R9"
"5%",1.84,2.98,7.26,7.4,6.37,6.9,6.15,3.22,3.43
"10%",3.9,6.3,14.68,14.94,12.98,14,12.56,6.75,7.17
"15%",5.94,9.58,21.4,21.77,19.05,20.47,18.48,10.17,10.78
"20%",7.74,12.43,26.84,27.29,24.04,25.74,23.36,13.12,13.89
"25%",9.92,15.87,32.93,33.45,29.69,31.68,28.92,16.61,17.57
"30%",12.48,19.88,39.47,40.06,35.84,38.08,34.99,20.62,21.79
"35%",15.41,24.4,46.19,46.84,42.26,44.72,41.36,25.07,26.44
"40%",18.64,29.32,52.84,53.53,48.72,51.32,47.8,29.82,31.41
"45%",22.1,34.49,59.16,59.88,54.95,57.64,54.05,34.73,36.52
"50%",23.88,37.11,62.14,62.86,57.93,60.63,57.04,37.19,39.07
